iter	Logloss
0	0.6789032441
1	0.6671276911
2	0.6553070923
3	0.6403928694
4	0.6305833022
5	0.6190198243
6	0.6076757672
7	0.5979254545
8	0.5877283387
9	0.5785202518
10	0.5701597238
11	0.5622553726
12	0.553916017
13	0.5472223793
14	0.5406581966
15	0.5336373532
16	0.5274582084
17	0.5214179965
18	0.516560166
19	0.5113412269
20	0.5054605878
21	0.5008370875
22	0.4945453631
23	0.4909232253
24	0.4865623727
25	0.4831881964
26	0.4788870214
27	0.4744598023
28	0.4707725959
29	0.4663583852
30	0.4620351704
31	0.4573469695
32	0.4543208747
33	0.4519544284
34	0.4488659768
35	0.4452709479
36	0.443055611
37	0.4396477711
38	0.4369064592
39	0.4337381329
40	0.431296122
41	0.4284135868
42	0.427356768
43	0.4243051754
44	0.4224038448
45	0.4200101932
46	0.4180263985
47	0.4154653447
48	0.4133324194
49	0.4112497686
50	0.4084944744
51	0.4069462866
52	0.4037211008
53	0.4015859569
54	0.4000459547
55	0.3978662685
56	0.3955680069
57	0.3933550933
58	0.3916018424
59	0.3895183829
60	0.3879953263
61	0.3864769509
62	0.3848967758
63	0.383275069
64	0.3815910071
65	0.3804204814
66	0.3784534017
67	0.3767391123
68	0.375473291
69	0.3741735918
70	0.3725966198
71	0.3713107481
72	0.3699358688
73	0.3690216049
74	0.3671210244
75	0.3659273818
76	0.364414028
77	0.3631519712
78	0.3620205174
79	0.3611385044
80	0.3589075682
81	0.3579738542
82	0.3568247466
83	0.3555919728
84	0.3546568829
85	0.3537755491
86	0.3522791358
87	0.3509925437
88	0.3497451633
89	0.3484846555
90	0.3477658261
91	0.3462595447
92	0.345645532
93	0.3439220732
94	0.342226971
95	0.3408188763
96	0.3398329643
97	0.338934578
98	0.3372482445
99	0.3362367868
100	0.334957335
101	0.3346982204
102	0.3337429639
103	0.3326858563
104	0.3318566606
105	0.331050234
106	0.3298679052
107	0.3289484155
108	0.327884339
109	0.3273966598
110	0.3265560307
111	0.3256335226
112	0.324603855
113	0.3236104657
114	0.322666118
115	0.3218783539
116	0.321098159
117	0.3197454517
118	0.3186769365
119	0.3180256215
120	0.3169388196
121	0.3163560967
122	0.3153458574
123	0.3142529898
124	0.3135081387
125	0.3127134884
126	0.3121217343
127	0.3110451341
128	0.3094992566
129	0.3085859837
130	0.3080054547
131	0.3074270184
132	0.3064808846
133	0.3057404061
134	0.3052131378
135	0.3046260355
136	0.3035348178
137	0.3029884698
138	0.3023432582
139	0.3017104396
140	0.3007154349
141	0.2998278616
142	0.2996273583
143	0.2989881758
144	0.2982757612
145	0.297782838
146	0.2971573262
147	0.2965655043
148	0.2958689222
149	0.2949856671
150	0.294504395
151	0.2932118599
152	0.2920649108
153	0.2915416385
154	0.290777236
155	0.2902646949
156	0.2894288469
157	0.288937198
158	0.2884724494
159	0.2878747622
160	0.2872397776
161	0.2866987679
162	0.2862660475
163	0.2855253863
164	0.2850474277
165	0.2846535876
166	0.2838422497
167	0.2828522907
168	0.2822144668
169	0.2812708479
170	0.2808490469
171	0.280227145
172	0.2797010148
173	0.2788800489
174	0.2779723953
175	0.2770200263
176	0.2765451545
177	0.2760834984
178	0.2757602381
179	0.2751401078
180	0.2744916766
181	0.2738856087
182	0.2727782254
183	0.2713810216
184	0.2706929886
185	0.2698676629
186	0.2694594568
187	0.2689325282
188	0.2684091632
189	0.2678867664
190	0.2671395326
191	0.2664189926
192	0.2659917768
193	0.2652963453
194	0.2641664947
195	0.2635219696
196	0.2630270994
197	0.262664735
198	0.2617809805
199	0.2610373038
200	0.2607502274
201	0.2601416652
202	0.2592724511
203	0.2587788617
204	0.2580460602
205	0.2569733872
206	0.256414807
207	0.2551097591
208	0.2544648014
209	0.2537438006
210	0.2530507799
211	0.2524561954
212	0.2518212574
213	0.2505644512
214	0.2497375188
215	0.2489314422
216	0.2476128975
217	0.24695777
218	0.2459624184
219	0.2454583985
220	0.2450004126
221	0.2444251773
222	0.2440469599
223	0.2430348259
224	0.2420474361
225	0.2414335915
226	0.2411390264
227	0.2407636481
228	0.240016361
229	0.2390733473
230	0.2378692825
231	0.2375978403
232	0.2370878688
233	0.236538627
234	0.235501101
235	0.2349287885
236	0.23429623
237	0.2336922657
238	0.2330190716
239	0.2322380526
240	0.2316051067
241	0.2312326904
242	0.2308754281
243	0.230268462
244	0.2293569263
245	0.2281462145
246	0.227335779
247	0.2268814574
248	0.2265666148
249	0.2261738065
250	0.2258196741
251	0.2254776344
252	0.2243394692
253	0.223841461
254	0.2232667247
255	0.2222127184
256	0.221690579
257	0.2215201168
258	0.2211693683
259	0.2203604463
260	0.2197648211
261	0.2192650282
262	0.218477732
263	0.2178675866
264	0.2174673642
265	0.2169374979
266	0.2161388267
267	0.2158696833
268	0.2155612122
269	0.2151591312
270	0.21465615
271	0.2138569412
272	0.2135989429
273	0.2132019861
274	0.2126623249
275	0.2122031129
276	0.2118601052
277	0.2114410777
278	0.2108727492
279	0.2104031303
280	0.2098462151
281	0.2093250216
282	0.2086803824
283	0.2084960385
284	0.2082422786
285	0.2076928168
286	0.2073427329
287	0.2070456188
288	0.2064944097
289	0.2060486897
290	0.2058130965
291	0.205126
292	0.2044929831
293	0.2040193278
294	0.2035490422
295	0.2029489492
296	0.2023988578
297	0.2020091704
298	0.201524033
299	0.2009232891
300	0.2003305847
301	0.1993583401
302	0.1987562362
303	0.1983208257
304	0.1978948113
305	0.1971486124
306	0.1968244178
307	0.1962246551
308	0.1957674244
309	0.1956029228
310	0.1952510114
311	0.1946896198
312	0.1940417884
313	0.1936974524
314	0.1931639768
315	0.1929837757
316	0.1925442664
317	0.1921603317
318	0.1916325518
319	0.1911559233
320	0.1907581656
321	0.1899410354
322	0.1894525906
323	0.1888209599
324	0.1884040472
325	0.1879578483
326	0.1877830778
327	0.1875244984
328	0.1871916244
329	0.1867772688
330	0.1863343116
331	0.185929915
332	0.1855206798
333	0.1853690317
334	0.1851366789
335	0.1846472311
336	0.1844166599
337	0.1842622074
338	0.1836825983
339	0.1832454609
340	0.1829658262
341	0.1826917687
342	0.1823525835
343	0.1815842391
344	0.1812923249
345	0.1810033803
346	0.1806073463
347	0.1805154388
348	0.1800912556
349	0.1799869912
350	0.1798266849
351	0.1793898532
352	0.1785585005
353	0.1783117466
354	0.1779971553
355	0.1776404467
356	0.1773633353
357	0.1767015234
358	0.1758451128
359	0.1754148968
360	0.1751540585
361	0.1743621168
362	0.1738922982
363	0.1738075881
364	0.1737496287
365	0.1731951049
366	0.1728635698
367	0.1722250242
368	0.1716652036
369	0.17131284
370	0.1706658877
371	0.1704160277
372	0.1701999193
373	0.1699872085
374	0.1698287114
375	0.1695903899
376	0.1688785047
377	0.1688284555
378	0.1684041097
379	0.1679990659
380	0.1675369775
381	0.1671191868
382	0.1665252637
383	0.1662254062
384	0.1658452031
385	0.1654308507
386	0.1651061464
387	0.1646923413
388	0.1644807449
389	0.1642877808
390	0.1640523218
391	0.1638164803
392	0.1637143206
393	0.1632800687
394	0.1629375037
395	0.1623681167
396	0.1619236984
397	0.1613927902
398	0.1607295477
399	0.1604293974
400	0.1599809507
401	0.1597631714
402	0.1592496623
403	0.1587109106
404	0.1580859014
405	0.1577961796
406	0.1574850354
407	0.1568547485
408	0.1563151653
409	0.155809407
410	0.1550655563
411	0.1549852968
412	0.1544045423
413	0.1541230848
414	0.1538616832
415	0.1533143433
416	0.1527989316
417	0.1522132313
418	0.1517555715
419	0.1516758668
420	0.1510837474
421	0.1507809116
422	0.1502998505
423	0.1498826014
424	0.1496455907
425	0.1489884608
426	0.1484425874
427	0.1479285074
428	0.1477217478
429	0.1472815823
430	0.1466965242
431	0.1466185139
432	0.146457873
433	0.145990565
434	0.145141441
435	0.1446683663
436	0.1440891054
437	0.1438533466
438	0.1435742312
439	0.1432516161
440	0.1429145013
441	0.1422765453
442	0.1414920796
443	0.1411378668
444	0.140674324
445	0.1401020781
446	0.1397419484
447	0.1394365627
448	0.1392851625
449	0.1389583522
450	0.1385750358
451	0.1379018584
452	0.1376510626
453	0.1369861705
454	0.1367814873
455	0.1359667365
456	0.1354387155
457	0.1348953472
458	0.1344163015
459	0.1342087957
460	0.1338180955
461	0.1334118071
462	0.1332792377
463	0.1331457902
464	0.1327189851
465	0.1322265287
466	0.1320683105
467	0.1319966309
468	0.1314036992
469	0.1312046447
470	0.1307360434
471	0.1305014804
472	0.1301691465
473	0.129920802
474	0.1294887109
475	0.1291934623
476	0.1287867056
477	0.1284138375
